id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6422,Nashville Charm,12172,Michele,,District 6,36.17315,-86.73581,Private room,40,1,637,2019-11-10,4.95,1,184
20847,East Nashville Retro Ranch!,79021,Kristina,,District 7,36.1964,-86.70427,Private room,41,60,138,2018-10-23,1.17,3,0
25341,East Nashville Retro Ranch BR #2,79021,Kristina,,District 7,36.19705,-86.70494,Private room,65,60,107,2019-03-26,0.93,3,0
25342,East Nashville Retro Ranch BR #3,79021,Kristina,,District 7,36.19712,-86.70445,Private room,70,30,5,2016-09-25,0.04,3,0
25613,Room in Historic East Nashville Craftsman Home,95811,Nell,,District 6,36.17826,-86.74162,Private room,93,2,496,2019-11-03,4.26,1,330
37306,Private Room for Women and Couples in a Historic Craftsman,161033,Carly,,District 17,36.13311,-86.77477,Private room,125,2,117,2019-10-13,1.03,1,79
39870,Close to Vanderbilt 2,171184,Evelyn,,District 18,36.12523,-86.81278,Private room,55,1,238,2019-11-14,6.15,2,248
65448,"Nashville Loft - Downtown, Walk to Honky-Tonks!",319913,Reservations,,District 19,36.16539,-86.77589,Entire home/apt,272,2,35,2019-10-08,0.37,44,335
72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,Richard Carson,,District 18,36.1306,-86.80045,Entire home/apt,90,2,587,2019-11-18,5.70,1,295
125579,"Uberhip 12th South, Walk Everywhere",624167,Mary Elizabeth,,District 17,36.13054,-86.78762,Entire home/apt,125,1,206,2019-10-25,2.01,1,138
136015,Apart. on the Ridge near Opryland,666322,Dave And Peggy,,District 15,36.19464,-86.67195,Entire home/apt,96,30,50,2018-02-10,0.49,4,354
258817,"ButterflyRoom,Morningstar, monthly-open Nov2019",22296,Diana,,District 12,36.16249,-86.58988,Private room,29,30,95,2017-08-21,0.98,8,365
280842,3 Bedroom House on the Greenway,666322,Dave And Peggy,,District 15,36.19409,-86.6732,Entire home/apt,135,3,178,2019-11-13,1.91,4,226
289242,"MorningstarHouse, NiceRoom-monthly-open July2019",22296,Diana,,District 12,36.16102,-86.59207,Private room,25,30,76,2019-01-12,0.79,8,365
319705,"SuperSweetSTUDIO, jacuzzi, monthly-open-Sept2019",22296,Diana,,District 12,36.16296,-86.59187,Private room,40,5,47,2019-03-26,0.50,8,308
329997,A+ Cottage with courtyard! Private! 5 mins to DT,1684051,Rick,,District 19,36.17641,-86.79846,Entire home/apt,55,2,885,2019-11-14,9.38,6,313
340081,"MorningstarHouse, colorful, monthly- openAug2019",22296,Diana,,District 12,36.16128,-86.58986,Private room,25,30,76,2018-05-23,0.81,8,364
366339,Artist Home and Treehouse East Nash,1511167,Sloane And Emily,,District 8,36.22792,-86.73884,Entire home/apt,250,2,70,2019-11-16,0.96,1,0
371066,Historic East Nashville,1869331,Ron,,District 6,36.18462,-86.73795,Private room,89,2,346,2019-11-04,5.00,1,333
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16492,-86.7501,Private room,95,1,218,2019-11-11,2.41,1,274
421290,Private Red Suite/King Bed/Wetbar/Bath/5 min to DT,1684051,Rick,,District 19,36.17277,-86.79331,Entire home/apt,55,2,703,2019-11-13,7.75,6,24
430052,"Private Vaulted Suite! King,Wet Bar,Bath/5 min DT!",1684051,Rick,,District 19,36.17323,-86.79177,Entire home/apt,55,2,696,2019-11-14,7.68,6,38
431258,"2Bdrms/2,5 baths, 5 mins to Downtown! Sleeps 4!",1684051,Rick,,District 19,36.17663,-86.80003,Entire home/apt,150,2,411,2019-09-13,4.51,6,247
475134,Nashville on the Range,1643782,Katy,,District 17,36.11693,-86.78937,Entire home/apt,137,3,119,2019-11-11,1.32,1,361
491172,French Flair #1 : The Paris room,2427763,Dody &Rodney,,District 5,36.18756,-86.74721,Private room,84,1,340,2019-11-09,3.73,4,346
501570,French Flair #2: The Loire room,2427763,Dody &Rodney,,District 6,36.19141,-86.74371,Private room,84,1,261,2019-11-10,2.88,4,365
513664,Cozy and Convenient in Donelson!  ,2530554,Lori,,District 14,36.15478,-86.64912,Private room,90,2,27,2015-06-29,0.33,1,141
609655,Charming 2BR/1 BA/Kitchen in lovely Inglewood,3023101,Jeannie,,District 7,36.21608,-86.70866,Entire home/apt,99,30,271,2017-01-02,3.10,1,322
632636,Admire the Skyline from the Rooftop Terrace at a Chic Suite,1684051,Rick,,District 19,36.17326,-86.79358,Entire home/apt,125,2,227,2019-11-14,2.56,6,48
634515,12 South  Loft on Belmont Blvd,2078813,Daniel,,District 18,36.12989,-86.79583,Entire home/apt,99,2,128,2019-11-03,1.52,1,354
637425,French Flair #3 : The Art bedroom,2427763,Dody &Rodney,,District 6,36.19185,-86.74475,Private room,83,1,159,2019-11-10,1.80,4,277
645985,Sweet Serenity Haven,1515903,Karen,,District 6,36.18565,-86.71511,Private room,35,30,47,2019-10-01,0.54,1,269
648088,Heart of Music Row  PRIVATE SUITE (600 sq FT),3250769,Robyn,,District 19,36.14449,-86.79087,Private room,115,2,364,2019-11-17,4.16,1,333
674159,A Clean Quiet Suite in a Great Location,3422455,John,,District 6,36.17242,-86.73742,Entire home/apt,147,2,245,2019-09-29,2.92,1,352
681880,Luxurious Rustic Cozy Guesthouse,3471162,Tiffany,,District 7,36.21628,-86.70935,Entire home/apt,89,2,541,2019-11-04,6.24,1,148
686218,Pillow Street Cottage,2883561,Kate Ashby,,District 17,36.13998,-86.76632,Entire home/apt,139,2,31,2019-11-11,0.35,1,147
747429,Downtown Great Getaway,2066370,Lisa,,District 21,36.18276,-86.80296,Entire home/apt,295,2,55,2019-11-10,0.64,1,61
775235,Nashville Urban Farm Bellevue,3020125,Kristi,,District 35,36.05154,-86.9382,Entire home/apt,60,30,61,2019-08-10,0.72,1,232
914787,Stay Near Downtown Nashville!,4910520,Sky Share Management,,District 19,36.17631,-86.78267,Entire home/apt,175,1,268,2019-09-26,3.29,7,359
980344,Downstairs/Midweek only Designer Home n Music City,441439,Angela,,District 24,36.144,-86.82827,Private room,250,2,1,2018-03-21,0.05,4,82
1006989,Private Carriage House,1896384,John And Mike,,District 6,36.17509,-86.73581,Entire home/apt,85,2,408,2019-11-17,5.05,1,149
1009550,The Fab GuesT QuarTers Suite,5554006,Jacque,,District 7,36.21235,-86.70461,Entire home/apt,110,2,190,2019-11-11,2.36,1,44
1039298,Winter Special!  Hotel-quality Two-bedroom Suite,5721539,Alyce,,District 7,36.2249,-86.72295,Entire home/apt,79,2,74,2019-11-18,2.31,1,174
1065775,House Near Grand Old Opry,666322,Dave And Peggy,,District 15,36.18058,-86.68721,Entire home/apt,100,30,15,2019-08-03,0.19,4,316
1130166,Private suite in university area,6201847,Cally And  Ken,,District 17,36.122,-86.78844,Entire home/apt,100,2,350,2019-11-15,4.52,1,305
1150709,Beautiful Downtown Condo on River,3115098,Chad,,District 19,36.17297,-86.78187,Entire home/apt,159,1,543,2019-11-03,6.83,1,176
1209395,Music Row Apartment and/or Recording Studio!,6604593,Michael,,District 19,36.14883,-86.79629,Entire home/apt,85,3,154,2019-11-06,2.10,1,336
1260392,"Newly Remodeled, Beautiful Haven",6864312,Timshel,,District 7,36.2137,-86.71375,Entire home/apt,200,1,3,2019-08-21,0.98,1,72
1278810,East Nashville Historic Log House,6958319,Lanier,,District 6,36.18626,-86.73251,Entire home/apt,525,2,138,2019-11-10,1.81,1,318
1300670,Valentino's Retreat,119023,Dana,,District 10,36.32114,-86.72644,Entire home/apt,130,2,25,2019-11-03,0.32,1,352
1300996,Bluebird Loft near 5Points/Downtown,7073590,Brigitte,,District 6,36.1696,-86.7251,Entire home/apt,90,1,355,2019-10-29,4.59,3,332
1340955,Heart of East Nashville Bungalow,7040278,J.Wes,,District 5,36.18199,-86.75237,Entire home/apt,169,1,435,2019-11-11,5.62,2,321
1376970,East Nashville private duplex apt,387150,Kristina,,District 7,36.18945,-86.72531,Entire home/apt,89,30,134,2019-08-18,1.75,2,169
1386270,A Room In a Peaceful Bohemian East Nashville House,199395,Pete,,District 7,36.20008,-86.72368,Private room,50,1,432,2019-11-02,6.33,1,29
1399012,Stylish & Comfy on Belmont Blvd #2,2886274,Ali,,District 18,36.13367,-86.79588,Entire home/apt,138,1,364,2018-04-30,5.08,5,0
1428018,Take Time out by the Private Lake at Our Urban Oasis,7679962,Cathryne & David,,District 6,36.17543,-86.71909,Private room,105,1,251,2019-11-10,3.29,1,0
1468175,"Walk to Vandy, Downtown & Music Row - FREE SHUTTLE",7720839,Michelle,,District 19,36.14901,-86.78818,Private room,75,14,140,2018-05-20,1.84,4,0
1469884,Walk to The Gulch -FREE SHUTTLE BUS,7720839,Michelle,,District 17,36.14584,-86.78634,Private room,65,1,76,2017-11-12,1.01,4,0
1476349,1 Bedroom • Walk to Belmont! Mins to Downtown!,6855810,UrbanNashville,,District 18,36.13052,-86.79583,Entire home/apt,90,2,154,2019-10-27,2.06,26,165
1537921,Private East Nashville Cozy Cottage,113637,Cynthia,,District 6,36.16794,-86.73759,Entire home/apt,119,2,176,2019-11-17,2.32,1,251
1550764,"Private Green Suite! Wet Bar,King,Bath,5 mins DT!",1684051,Rick,,District 19,36.17295,-86.7934,Private room,55,1,550,2019-10-17,7.24,6,45
1557535,ULITIMATE GIRLS WEEKEND!!! 10 MIN. TO DOWNTOWN!!!!,8291189,John,,District 7,36.22637,-86.70969,Entire home/apt,645,3,59,2019-10-27,0.81,1,301
1583339,Heart of Historic East Nashville,1567001,Amy,,District 6,36.17739,-86.74362,Entire home/apt,350,2,42,2019-10-14,0.56,4,222
1583557,Entire Upstairs- 2 Bedrooms,1567001,Amy,,District 6,36.17862,-86.74353,Entire home/apt,120,2,86,2019-11-11,1.15,4,187
1584280,Cheapestead Cottage East Nashville,8440705,Carolyn,,District 6,36.17649,-86.74237,Entire home/apt,86,2,309,2019-11-04,4.09,1,335
1587240,Charismatic room in East Nashville,1567001,Amy,,District 6,36.17903,-86.74363,Private room,70,3,122,2019-10-21,1.63,4,129
1625117,Cozy/Cute/Very Safe TreeTop apt in East Nashville,8382752,Joseph,,District 7,36.23019,-86.71623,Entire home/apt,99,1,247,2019-10-30,3.61,1,360
1637070,Stone Cottage in East Nashville,8694266,Nancy,,District 5,36.19823,-86.74584,Private room,75,2,221,2019-11-14,2.96,1,60
1640655,Southern Hospitality - With 2 Rooms! Private Bath!,6154341,Ann,,District 17,36.1254,-86.77825,Private room,87,4,149,2019-05-01,2.00,1,292
1644990,East Nashville - Be Nice Or Leave,8155143,Tom And Misty,,District 6,36.17553,-86.73539,Entire home/apt,125,1,488,2019-11-12,6.93,1,287
1648311,Luxury corner unit - large balcony - Downtown Nash,2981437,Christopher,,District 19,36.15379,-86.77486,Entire home/apt,300,1,39,2019-10-28,5.39,1,0
1656104,Private Room & Full Bath Nashville,8779990,Rachael And Eric,,District 20,36.15801,-86.87729,Private room,55,1,254,2019-11-08,5.07,1,251
1661560,"Tire swing, instruments, killer porch on Eastside!",8804227,Kelli,,District 6,36.17543,-86.7362,Entire home/apt,165,1,103,2019-10-14,1.40,2,173
1709396,"Convenient, Great Location!",9019156,Lee,,District 25,36.10774,-86.77698,Entire home/apt,385,2,21,2019-10-21,0.31,1,365
1714215,TRAVELERS PL  Blue Room Non smokers only plz,812128,Patricia And John,,District 12,36.18743,-86.59163,Private room,28,31,8,2018-08-18,0.14,7,357
1793477,East Nashville Underground Apt.,7509912,Sarah & Steve,,District 7,36.1978,-86.70568,Entire home/apt,99,1,426,2019-11-11,5.83,1,334
1801399,The Corner Sweet - Entire 2nd Floor - 3 Beds,7213864,Patrick And Holly,,District 7,36.20966,-86.73014,Private room,110,2,56,2019-11-10,2.84,1,155
1842910,Cottage in East Nashville 5 Points,9629632,Kelly,,District 6,36.18708,-86.74346,Entire home/apt,90,2,255,2019-11-04,3.56,3,160
1844680,Private room in great location!,9637660,David And Becky,,District 7,36.21661,-86.7255,Private room,60,2,162,2019-08-21,2.29,3,3
1857152,Cozy and Relaxing Nashville Retreat,9691837,Sandy And Jud,,District 4,36.01715,-86.71482,Private room,55,2,318,2019-11-11,4.38,3,334
1885504,"Dual Master Suites, 8min to downtown",9805687,Brent,,District 16,36.10963,-86.74195,Entire home/apt,97,1,145,2019-11-04,1.98,9,327
1906253,Good Times Loft - Heart of Downtown Nashville,319913,Reservations,,District 19,36.16332,-86.77712,Entire home/apt,189,2,35,2019-10-20,0.50,44,325
1951714,Cheap Vandy / Downtown Nashville CrashPad,7720839,Michelle,,District 19,36.14721,-86.78759,Shared room,500,1,7,2017-09-11,0.10,4,43
1952604,Lovely 2 Br.Apt. Belmont/Hillsboro,10030890,Dennis,,District 18,36.12974,-86.80022,Entire home/apt,83,30,5,2018-08-19,0.07,1,0
1954040,Vintage style Eastside bungalow,8196681,Anita,,District 7,36.20443,-86.72778,Private room,68,1,237,2019-11-17,3.31,1,356
1984644,East Nashville Red Door Apartment,8067886,Mandi,,District 7,36.21517,-86.71478,Entire home/apt,79,2,161,2019-11-03,3.07,1,174
2010018,Southern Stunner in East Nashville,6032393,Amber & Brett,,District 7,36.20714,-86.73115,Entire home/apt,426,2,290,2019-11-03,4.08,2,285
2022417,⭐️ East Nashville Loft ⭐️ Firepit Rain Shower iPad,9041798,Bryon,,District 7,36.21606,-86.72368,Entire home/apt,165,2,237,2019-11-11,3.42,1,175
2071080,Cheap Downtown Crashpad (Solo Travelers Only),7720839,Michelle,,District 19,36.14717,-86.78754,Shared room,100,1,3,2018-05-05,0.08,4,0
2082627,Musician's Loft-Downtown Nashville,319913,Reservations,,District 19,36.16391,-86.77585,Entire home/apt,259,2,23,2019-11-04,0.32,44,317
2083878,"3min to DWTN!/2 bds, 1.5bths/Private Suite",10643952,Khira,,District 19,36.17074,-86.79057,Entire home/apt,110,1,430,2019-11-03,6.00,2,115
2138177,Rustic Designer Suite near City Center,6521193,Terry And Piper,,District 6,36.16137,-86.75327,Entire home/apt,115,2,347,2019-11-11,4.93,1,0
2140341,Downtown Loft: 2nd Ave (between Church & Commerce),10923196,Andrea,,District 19,36.16428,-86.77704,Entire home/apt,149,1,175,2019-08-19,2.48,1,64
2172240,Close to Vanderbilt,171184,Evelyn,,District 25,36.12472,-86.81339,Private room,58,1,554,2019-11-17,7.79,2,250
2181743,Take It Easy at an Urban Cottage,7073590,Brigitte,,District 6,36.16976,-86.73837,Entire home/apt,135,1,292,2019-11-14,4.37,3,253
2192163,Master Suite Lake View Estate Home,11179035,Dave,,District 11,36.25553,-86.64141,Private room,79,2,38,2019-10-26,0.55,1,364
2203929,"Middle of Downtown, Walk to Honky-Tonks, Sleeps 6!",319913,Reservations,,District 19,36.16516,-86.77604,Entire home/apt,317,2,44,2019-10-18,0.67,44,126
2216697,Chic & Cozy on Belmont Blvd #1,2886274,Ali,,District 18,36.13032,-86.79629,Entire home/apt,130,1,312,2018-05-04,4.41,5,0
2227650,"Downtown, Large 2 Story Loft - 2 bdr/2.5 baths!",319913,Reservations,,District 19,36.16512,-86.77604,Entire home/apt,289,2,31,2019-10-30,0.44,44,230
2247632,Country in the city( NINE beds! East Nashville),2245687,Kyah,,District 6,36.1864,-86.71779,Entire home/apt,355,3,128,2019-10-27,1.82,1,335
2261942,Charming Room in Hip East Nashville,11550460,Jim,,District 5,36.18181,-86.7528,Private room,83,2,492,2019-11-11,7.24,1,141
2273933,Sylvan Park home 2 mi- downtown,441439,Angela,,District 24,36.14058,-86.82551,Entire home/apt,550,2,4,2017-09-24,0.06,4,337
2289868,Walk to 5 Points Restaurants/Bars!,11696847,David And Cindy,,District 6,36.17513,-86.73803,Entire home/apt,120,1,520,2019-11-13,7.53,1,253
2316288,❤︎ NEWLY RENOVATED 1930 Cottage❤︎ PRIME Location❤︎,7428690,Matt & Steph,,District 6,36.18719,-86.74243,Entire home/apt,349,2,213,2019-11-10,4.01,3,265
2372334,Charismatic room in East Nashville,1567001,Amy,,District 6,36.17904,-86.745,Private room,70,1,45,2019-10-18,0.65,4,129
2383365,Airy & Bohemian on Belmont Blvd #3,2886274,Ali,,District 18,36.13164,-86.79614,Entire home/apt,130,1,355,2018-05-05,5.60,5,0
2396505,Luxe Comfort in an Artistic & Historic Home,12098481,Bryan,,District 18,36.13637,-86.81319,Entire home/apt,585,3,52,2019-10-21,0.77,1,338
2400986,"Artist's Loft - Downtown, Walk to Honky-Tonks!",319913,Reservations,,District 19,36.16493,-86.77677,Entire home/apt,262,2,23,2018-09-23,0.37,44,337
2430070,Classic East Nashville Bungalow,9681694,Meghan,,District 6,36.17127,-86.74256,Entire home/apt,122,2,96,2019-10-27,1.41,1,356
2473234,Room At Eastland - Your totally private room!,12649085,Val,,District 6,36.18218,-86.726,Private room,60,2,104,2019-10-21,1.51,1,272
2479230,2BR/1BA Long-Term FURNISHED Rental by Vandy,2800334,Kristin,,District 19,36.14454,-86.79452,Entire home/apt,88,30,87,2019-08-07,1.31,2,268
2560751,Pool Table! Mins to Downtown! Walk to Vanderbilt!,6855810,UrbanNashville,,District 18,36.13031,-86.80989,Entire home/apt,135,2,194,2019-11-14,2.85,26,85
2577619,NASHVILLE'S GEM LOCATION! MUSIC ROW & VANDERBILT,2275056,Debbie And Glenn,,District 18,36.14164,-86.81628,Entire home/apt,646,2,99,2019-11-10,1.53,5,326
2581896,"Live Like a Local in E. Nashville, 196 5* Reviews",13221453,Christy,,District 6,36.17061,-86.74256,Entire home/apt,99,2,212,2019-11-16,3.10,5,76
2599447,Great Place for Family & Friend Gathering!,9691837,Sandy And Jud,,District 4,36.01552,-86.71463,Private room,400,2,21,2017-09-24,0.30,3,318
2608052,Cool Architect's House in Nashville,13356047,Ben,,District 24,36.15045,-86.83158,Entire home/apt,400,3,116,2019-11-11,1.79,1,168
2666769,Cottage at West End/Vandy/Hillsboro,9551442,Debra,,District 21,36.14594,-86.81892,Entire home/apt,88,1,457,2019-11-19,7.19,6,334
2687266,Cool 4 Bdrm Bungalow Perfect Location!,13756506,Rachael,,District 17,36.13239,-86.76923,Entire home/apt,149,2,306,2019-11-18,4.52,2,318
2694882,"E. Nashville, 207 5* Reviews, Close to Everything",13221453,Christy,,District 6,36.17029,-86.74104,Entire home/apt,99,2,223,2019-11-18,3.26,5,168
2699594,"Spacious Broadway Penthouse, Walk to Live Music, Bars & Eateries!",1099118,Cayla,,District 19,36.16223,-86.77752,Entire home/apt,399,1,144,2019-11-16,2.26,1,348
2710049,Affordable extended stays,22296,Diana,,District 12,36.16162,-86.5911,Private room,28,30,9,2018-03-15,0.13,8,364
2726453,Luxury Living & Perfect Location Walk to Music Row,2275056,Debbie And Glenn,,District 18,36.14013,-86.81502,Entire home/apt,99,1,131,2019-11-16,1.97,5,33
2743820,"East Nashville, 2 Bedroom Bungalow",5443095,Brad,,District 7,36.21783,-86.71522,Entire home/apt,100,31,81,2019-08-22,1.21,1,269
2748427,LIME•ELLO EAST: Inglewood,14060158,Lorie,,District 7,36.20715,-86.7218,Entire home/apt,99,2,466,2019-11-12,6.94,1,53
2762501,Cute 1920s Victorian House,14128828,Helena,,District 6,36.17422,-86.74305,Entire home/apt,450,2,26,2019-10-20,0.47,1,89
2811765,Historic Bungalow - 3 BR & 2.5 Bath,5461408,Nancy,,District 17,36.13434,-86.77735,Entire home/apt,350,30,5,2018-01-01,0.08,1,0
2824336,"Modern Home, Gulch, Blocks from Downtown",14448697,Che,,District 19,36.14909,-86.78868,Entire home/apt,499,2,127,2019-11-17,1.93,2,320
2874811,"Modern, Stylish,  5 ★ Cottage close to EVERYTHING!",3751912,Chaney,,District 6,36.16662,-86.7486,Entire home/apt,84,30,150,2018-12-26,2.26,2,44
2881237,Nashville Prime DOWNTOWN Hot Spot!,14724962,DaR,,District 19,36.15917,-86.76758,Entire home/apt,228,3,135,2019-10-07,2.02,4,331
2882505,"Spacious, private, and convenient",1027550,Rachel And Rob,,District 19,36.14732,-86.7876,Private room,100,2,601,2019-11-06,8.96,1,31
2906397,Anchor Down with Class and Style,6179167,Chad,,District 18,36.13448,-86.81938,Entire home/apt,799,2,32,2019-10-27,0.51,1,0
2906844,Beautiful Loft Apt East Nashville,6117864,Sara,,District 6,36.17718,-86.74109,Entire home/apt,120,2,360,2019-11-17,5.37,2,191
2908364,"River View, Dock, Pool, Hot tub, CASR (Phone number hidden by Airbnb)",14858294,Bill And Anne,,District 15,36.22014,-86.70626,Entire home/apt,650,3,21,2019-09-15,0.32,1,295
2919027,CMA Week $2500 - 3bd Craftsman,14906700,Jeff,,District 18,36.13275,-86.80818,Entire home/apt,300,3,0,,,1,0
2931998,Light-filled Modern Bungalow at Musician's Hideaway,5151272,Carly,,District 6,36.17477,-86.73981,Entire home/apt,195,3,81,2019-11-04,1.36,2,340
2943912,"3 Bed/ 3 Bath,  on 8 serene acres",6017964,Tatiana,,District 12,36.15167,-86.57886,Entire home/apt,250,2,49,2019-10-20,0.73,1,347
2950152,"Nashville City, Broadway , Vanderbilt Pets Welcome",15060012,William And Vicki,,District 17,36.14225,-86.79286,Entire home/apt,179,1,380,2019-11-03,6.12,1,265
2957794,"Explore Nashville from a Quirky, Colorful Home",1713655,Anna,,District 18,36.12169,-86.79365,Private room,130,2,213,2019-11-17,3.19,3,338
2958698,"4 BR Home, 10 min to Dwntwn",6653482,Jessica,,District 24,36.14579,-86.83957,Entire home/apt,300,2,24,2019-11-03,0.38,1,12
2984307,Belmont Bungalow,1237757,Levi,,District 18,36.1355,-86.79393,Entire home/apt,69,30,320,2018-09-16,4.79,1,147
2989603,Private Music City Condo,3899085,Ben,,District 18,36.1364,-86.80129,Entire home/apt,148,3,86,2019-11-03,1.28,1,0
3005865,"Poodle Springs, Luxury Lodging",15318271,Bett & Rob,,District 34,36.05341,-86.84215,Private room,150,30,23,2018-11-12,0.35,1,365
3021231,12th S- WALK TO RESTAURANTS!! 3 MILES TO DOWNTOWN,15395208,Julie And Josh,,District 17,36.12133,-86.78245,Entire home/apt,195,3,150,2019-11-14,2.28,1,291
3043332,Loaded Vagabond Studio (Near Opry and Downtown),293488,Caitlin,,District 15,36.16429,-86.68384,Entire home/apt,70,2,254,2019-10-26,4.12,2,145
3052313,Beautiful Belmont Family Home,15539580,Robert,,District 18,36.12228,-86.80152,Entire home/apt,400,2,8,2019-09-22,0.13,1,169
3056884,"Mulberry House, Upscale Guest Cottage in Nashville",13960682,Doug,,District 25,36.11481,-86.78929,Entire home/apt,275,2,4,2019-11-11,0.27,1,216
3072413,Cozy 2BR East Nashville suite,9637660,David And Becky,,District 7,36.21517,-86.72557,Private room,90,3,59,2019-11-10,0.90,3,30
3076383,East Nashville stunner. 7 minutes from downtown!,1859339,Michael,,District 6,36.16751,-86.74157,Entire home/apt,372,1,81,2019-07-28,1.23,1,0
3095791,Convenient Private Room in Midtown,3298595,Heidi,,District 21,36.15532,-86.8004,Private room,60,30,51,2019-10-11,0.77,1,154
3107569,DOWNTOWN 7000 sf Mansion 7 Min to Broadway!,15494980,Devon,,District 5,36.19976,-86.76057,Entire home/apt,600,1,104,2019-09-02,1.65,3,331
3121821,Charming private apt. in hip area,14083317,Merrilyn,,District 6,36.18774,-86.74115,Entire home/apt,95,1,678,2019-11-05,10.19,2,310
3123909,Spacious 4BR House near Downtown,7961115,Blake,,District 19,36.18161,-86.79086,Entire home/apt,489,2,104,2019-10-27,1.58,2,352
3158038,12South comfort,5611748,Melissa,,District 17,36.1348,-86.78514,Entire home/apt,525,2,17,2019-09-22,0.26,1,19
3200462,Cozy East Nashville Bungalow,3773670,Mark & Andrew,,District 5,36.18564,-86.75688,Entire home/apt,132,2,175,2019-10-29,2.64,1,3
3206885,"Peaceful, charming home 3miles to downtown!",8804227,Kelli,,District 6,36.17674,-86.73511,Entire home/apt,369,3,63,2019-10-27,1.00,2,175
3215996,Chic Mid-Century Cottage in Trendy East Nashville,6032393,Amber & Brett,,District 5,36.19289,-86.74893,Entire home/apt,141,1,292,2019-11-17,4.43,2,301
3231144,Private 1BD studio that sleeps 4   ,16353212,Brett,,District 18,36.12937,-86.79364,Entire home/apt,99,28,8,2018-03-28,0.12,1,58
3258026,Beautiful Modern Home - 1.6 mi to Downtown!,15808221,Rachel & Ryan,,District 19,36.18221,-86.79217,Entire home/apt,625,2,37,2019-10-13,0.57,2,77
3275310,Cozy Chic Cottage in Popular East Nashville,6233192,Michelle,,District 6,36.17942,-86.7308,Entire home/apt,224,2,54,2019-10-06,0.84,2,230
3278713,Downtown Nashville Loft,16573139,Andy,,District 19,36.16485,-86.77624,Entire home/apt,220,2,325,2019-10-25,4.92,1,231
3328710, Hot West End Condo-walk to fun!,16805934,Rachael,,District 21,36.15247,-86.81884,Entire home/apt,160,30,6,2015-08-24,0.09,4,365
3344930,Spacious Downtown Condo Off Broadway,16831211,Chris,,District 19,36.1665,-86.77733,Entire home/apt,250,2,349,2019-11-11,5.29,2,258
3379848,Casual Comfort at The Hotel Not California,17050462,Patrick & Janet,,District 16,36.12451,-86.71123,Entire home/apt,120,2,72,2019-11-11,2.63,1,345
3398939,Downtown Condo - Fantastic VIEW,17145199,Brad,,District 19,36.17413,-86.7822,Entire home/apt,115,1,280,2019-11-18,4.28,7,172
3405468,Where Music City Meets Nature,17174806,Adam And Megan,,District 7,36.20264,-86.70022,Entire home/apt,385,3,41,2019-10-12,0.62,1,251
3456593,Music City Suiteheart - Dreamy Cottage Minutes from Downtown,17419686,Allyson,,District 20,36.15911,-86.84943,Entire home/apt,150,1,106,2019-11-18,5.02,1,0
3533639,Cozy up for the Holidays - close to Downtown!,17790536,Suzie And Andrew,,District 17,36.12528,-86.77684,Entire home/apt,59,2,110,2019-11-16,1.99,1,322
3550048,"Family Home • Mins to Vandy, Belmont & Downtown!",6855810,UrbanNashville,,District 18,36.12712,-86.81101,Entire home/apt,135,2,140,2019-11-10,2.24,26,167
3571432,Apartment on Broadway!,7894194,Kate & Chance,,District 19,36.15117,-86.79539,Entire home/apt,120,1,567,2019-11-06,8.79,16,327
3576806,Deluxe East Nashville Cottage,5068371,Dave,,District 6,36.17978,-86.72895,Entire home/apt,225,2,32,2015-07-29,0.51,1,263
3578360,East Nashville & Easy Bike Downtown,11006332,Cp,,District 6,36.16369,-86.74046,Entire home/apt,120,1,56,2019-11-03,0.86,3,232
3595967,"New, Spacious, Clean, near Downtown",14103090,Gary,,District 17,36.13955,-86.76488,Entire home/apt,375,3,45,2019-10-20,0.70,1,155
3615228,Sylvan Park Guest Quarters,39713,Ellen,,District 24,36.1504,-86.84701,Entire home/apt,55,30,51,2019-06-15,1.97,1,365
3643239,Downtown Hostel - Private Dorm,16246720,Music City Guest House,,District 19,36.16523,-86.77549,Hotel room,120,1,139,2019-11-12,2.20,13,364
3648549,'Country Rhoads' Duo's Cozy Studio Apartment,931636,Debby,,District 25,36.10485,-86.79698,Entire home/apt,97,1,105,2019-11-03,2.80,1,64
3686152,12th South Dream Retreat,15586733,Neal,,District 17,36.1269,-86.78371,Entire home/apt,390,2,184,2019-11-17,2.89,13,154
3688613,Spacious New East Nashville Loft,18770345,Kara,,District 6,36.17915,-86.74469,Entire home/apt,52,30,324,2019-11-10,5.12,1,225
3694888,Location! Music Row Gulch Downtown!,18816131,Sean,,District 19,36.15053,-86.78961,Entire home/apt,149,1,455,2019-11-03,7.72,2,258
3696753,Restrung East Nashville Condo,18830581,Mike & Kate,,District 6,36.17069,-86.75593,Entire home/apt,175,3,223,2019-11-04,3.44,2,165
3697561,"VANDERBILT w CITY VIEW
Large private room
Walkable",18836861,Dru,,District 21,36.14357,-86.81371,Private room,100,1,227,2019-11-18,5.32,3,253
3701508,Historic Charm - Minutes 2 Downtown (Upstairs Apt),18865875,Jared,,District 5,36.1915,-86.76531,Private room,125,1,136,2019-11-03,2.14,2,357
